,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,
"gene_id ""PDENDC454_28240""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28240""; ",594.5642603,1.456539923,0.276518047,5.267431681,1.38E-07,7.23E-06,20up
"gene_id ""PDENDC454_28245""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28245""; ",620.2679677,1.493033872,0.285137408,5.236190795,1.64E-07,8.25E-06,20up
"gene_id ""PDENDC454_28250""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28250""; ",1073.804385,1.279012795,0.358775022,3.564943808,0.000363934,0.005471211,20up
"gene_id ""PDENDC454_28255""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28255""; ",657.5082139,1.220072099,0.274518051,4.444414841,8.81E-06,0.000243243,20up
"gene_id ""PDENDC454_28190""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28190""; ",27.49133649,1.687385523,0.549068738,3.073177195,0.002117927,0.02312106,20up
"gene_id ""PDENDC454_27408""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_27408""; ",275.0385504,1.205601634,0.26392097,4.568040323,4.92E-06,0.000153155,20up
"gene_id ""PDENDC454_26993""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_26993""; ",347.6050542,1.026755981,0.248622663,4.129776297,3.63E-05,0.000814288,20up
"gene_id ""PDENDC454_26753""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_26753""; partial ""true""; ",1106.907557,1.221844297,0.271620307,4.498354017,6.85E-06,0.000198155,20up
"gene_id ""PDENDC454_26638""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_26638""; ",156.0992876,1.072610758,0.251801228,4.259751897,2.05E-05,0.000496148,20up
"gene_id ""PDENDC454_26653""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_26653""; ",2275.444363,1.238254899,0.249893192,4.955136584,7.23E-07,2.92E-05,20up
"gene_id ""PDENDC454_26453""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_26453""; ",59.2109253,2.504547584,0.42138717,5.943578163,2.79E-09,2.59E-07,20up
"gene_id ""PDENDC454_26458""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_26458""; ",24.18648675,1.775010136,0.576050361,3.08134541,0.002060674,0.02265697,20up
"gene_id ""PDENDC454_26463""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_26463""; ",59.41228639,1.400045481,0.325146043,4.305897336,1.66E-05,0.00041439,20up
"gene_id ""PDENDC454_26468""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_26468""; ",28.31635785,1.87890771,0.641818099,2.927476978,0.003417244,0.034505826,20up
"gene_id ""PDENDC454_26473""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_26473""; ",149.1058038,1.753527868,0.278513877,6.296016158,3.05E-10,3.74E-08,20up
"gene_id ""PDENDC454_26478""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_26478""; ",315.6662122,1.318444188,0.23686693,5.566180919,2.60E-08,1.60E-06,20up
