"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"gene_id ""PDENDC454_28240""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28240""; ",594.564260276605,-1.26830175356044,0.395449900376726,-3.2072375093588,0.00134016300635836,0.029804782232317
"gene_id ""PDENDC454_28245""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28245""; ",620.267967746068,-1.47957237723496,0.40770507870198,-3.62902611354636,0.000284492464547879,0.00916849367782446
"gene_id ""PDENDC454_28290""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28290""; ",1063.76484509481,-1.91436543686617,0.29657626561087,-6.45488415238853,1.08301717955432e-10,7.85937767838198e-08
"gene_id ""PDENDC454_28295""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28295""; partial ""true""; ",358.516711591017,-1.5547612576199,0.393360215759441,-3.95251272327628,7.73348157797791e-05,0.00343980147542786
"gene_id ""PDENDC454_27388""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_27388""; partial ""true""; ",122.648859387155,-3.02441376324009,0.656384006609096,-4.60768960362748,4.07167869107838e-06,0.000322261392873292
"gene_id ""PDENDC454_27233""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_27233""; ",63.4743111585896,-1.55950385113999,0.467438887280054,-3.33627324036832,0.000849096654161683,0.0216580009132615
"gene_id ""PDENDC454_26993""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_26993""; ",347.605054197137,-1.32774389440202,0.357209126551591,-3.71699320008907,0.000201607867420713,0.00718578504939258
"gene_id ""PDENDC454_26768""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_26768""; ",324.934048689273,-1.496099310087,0.309411348823481,-4.83530845192276,1.32939333024261e-06,0.000134996130252183
"gene_id ""PDENDC454_26778""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_26778""; ",377.310032847173,-2.31891016304166,0.399765878685666,-5.80067055914246,6.60502526444683e-09,1.77741229866264e-06
"gene_id ""PDENDC454_26783""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_26783""; ",396.551282017321,-2.21421372992032,0.480124229365539,-4.61175169777684,3.99289787396787e-06,0.000320742930711867
"gene_id ""PDENDC454_26788""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_26788""; ",637.510557474298,-1.64358195044512,0.420885706050241,-3.90505528417478,9.42038468555689e-05,0.00384094775588388
"gene_id ""PDENDC454_26843""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_26843""; ",260.99461968473,-1.18003277367284,0.321409588659672,-3.671429899132,0.000241197237967276,0.00821597173885999
"gene_id ""PDENDC454_26858""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_26858""; ",372.69508540263,-1.18213372785196,0.326570020165564,-3.6198476738699,0.000294776496012985,0.00938749764225967
