,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,avr,,,,,sd,,,,
,25 然,,,,,12.5 然,,,,,6.25 然,,,,,,,,,,PD,,,,,LB,,,,,25 然,12.5 然,6.25 然,PD,LB,25 然,12.5 然,6.25 然,PD,LB
Time,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,G1,G2,G3,G4,G5,G6,0.1035,0.103,0.103,0.103333333,0.099,0.00057735,0.001,0.001154701,0.00057735,0.001414214
1,0.105,0.104,0.104,0.103,0.103,0.103,0.105,0.104,0.103,0.102,0.104,0.103,0.104,0.104,0.104,0.103,0.103,0.101,0.102,0.104,0.104,0.104,0.103,0.103,0.104,0.097,0.098,0.1,0.1,0.1,0.103,0.102,0.102571429,0.104333333,0.099,0.001154701,0.001,0.001511858,0.00057735,0.001414214
2,0.104,0.104,0.104,0.102,0.102,0.102,0.104,0.103,0.102,0.101,0.103,0.103,0.103,0.103,0.104,0.103,0.103,0.1,0.101,0.104,0.105,0.105,0.104,0.104,0.105,0.097,0.098,0.1,0.1,0.1,0.1025,0.102,0.102,0.106333333,0.099,0.001290994,0.001,0.001290994,0.00057735,0.001414214
3,0.103,0.104,0.103,0.102,0.101,0.102,0.103,0.103,0.102,0.101,0.103,0.102,0.103,0.102,0.104,0.102,0.102,0.1,0.101,0.103,0.107,0.108,0.106,0.106,0.107,0.097,0.098,0.1,0.1,0.1,0.10225,0.101333333,0.101714286,0.111333333,0.099,0.000957427,0.00057735,0.001253566,0.001527525,0.001414214
4,0.103,0.103,0.103,0.102,0.101,0.102,0.103,0.102,0.101,0.101,0.103,0.102,0.103,0.102,0.103,0.102,0.102,0.1,0.1,0.103,0.113,0.112,0.111,0.11,0.112,0.097,0.098,0.1,0.1,0.1,0.102,0.101,0.101285714,0.118333333,0.099,0.001154701,0.001,0.001253566,0.001527525,0.001414214
5,0.103,0.103,0.103,0.101,0.101,0.101,0.103,0.102,0.101,0.1,0.102,0.101,0.102,0.102,0.102,0.102,0.102,0.099,0.1,0.102,0.12,0.12,0.118,0.117,0.12,0.097,0.098,0.1,0.1,0.1,0.102,0.101,0.101285714,0.133333333,0.099,0.001154701,0.001,0.001253566,0.004163332,0.001414214
6,0.103,0.103,0.103,0.101,0.101,0.101,0.103,0.102,0.101,0.1,0.102,0.101,0.102,0.102,0.102,0.102,0.102,0.099,0.1,0.102,0.138,0.136,0.132,0.13,0.132,0.097,0.098,0.1,0.1,0.1,0.10175,0.101,0.101285714,0.166,0.099,0.000957427,0.001,0.001253566,0.003,0.001414214
7,0.102,0.103,0.102,0.101,0.101,0.101,0.103,0.102,0.101,0.1,0.102,0.101,0.102,0.102,0.102,0.102,0.102,0.099,0.1,0.102,0.169,0.169,0.166,0.163,0.169,0.097,0.098,0.1,0.1,0.1,0.10175,0.101,0.101142857,0.210666667,0.099,0.000957427,0.001,0.001214986,0.001527525,0.001414214
8,0.102,0.103,0.102,0.101,0.101,0.101,0.103,0.102,0.101,0.1,0.102,0.101,0.102,0.102,0.102,0.101,0.102,0.099,0.1,0.102,0.209,0.21,0.211,0.212,0.217,0.097,0.098,0.1,0.1,0.1,0.1015,0.101,0.101571429,0.250666667,0.099,0.00057735,0.001,0.001511858,0.004041452,0.001414214
