,values,,,,,,,,,,,,,,,avg,,,,,SD,,,,
Time,50 킠,50 킠,50 킠,25 킠,25 킠,25 킠,12.5 킠,12.5 킠,12.5 킠,Pd,Pd,Pd,LB,LB,LB,50 킠,25 킠,12.5 킠,Pd,LB,50 킠,25 킠,12.5 킠,Pd,LB
0,0.14,0.143,0.137,0.138,0.15,0.136,0.14,0.147,0.141,0.138,0.134,0.13,0.096,0.095,0.096,0.14,0.141333333,0.142666667,0.134,0.095666667,0.003,0.007571878,0.003785939,0.004,0.00057735
1,0.137,0.137,0.138,0.151,0.155,0.157,0.155,0.156,0.155,0.143,0.143,0.14,0.096,0.095,0.096,0.137333333,0.154333333,0.155333333,0.142,0.095666667,0.00057735,0.00305505,0.00057735,0.001732051,0.00057735
2,0.142,0.138,0.138,0.169,0.178,0.184,0.188,0.191,0.188,0.172,0.173,0.164,0.096,0.095,0.096,0.139333333,0.177,0.189,0.169666667,0.095666667,0.002309401,0.007549834,0.001732051,0.004932883,0.00057735
3,0.144,0.143,0.138,0.201,0.204,0.224,0.23,0.229,0.23,0.216,0.216,0.21,0.096,0.095,0.096,0.141666667,0.209666667,0.229666667,0.214,0.095666667,0.00321455,0.012503333,0.00057735,0.003464102,0.00057735
4,0.15,0.152,0.147,0.244,0.244,0.261,0.27,0.268,0.27,0.255,0.258,0.251,0.096,0.095,0.096,0.149666667,0.249666667,0.269333333,0.254666667,0.095666667,0.002516611,0.009814955,0.001154701,0.003511885,0.00057735
5,0.168,0.175,0.174,0.284,0.29,0.299,0.306,0.305,0.306,0.293,0.297,0.29,0.096,0.095,0.096,0.172333333,0.291,0.305666667,0.293333333,0.095666667,0.003785939,0.007549834,0.00057735,0.003511885,0.00057735
6,0.204,0.203,0.203,0.315,0.322,0.327,0.331,0.333,0.335,0.326,0.335,0.324,0.096,0.095,0.096,0.203333333,0.321333333,0.333,0.328333333,0.095666667,0.00057735,0.006027714,0.002,0.005859465,0.00057735
7,0.239,0.238,0.233,0.344,0.354,0.356,0.353,0.359,0.36,0.349,0.359,0.349,0.096,0.095,0.096,0.236666667,0.351333333,0.357333333,0.352333333,0.095666667,0.00321455,0.006429101,0.003785939,0.005773503,0.00057735
8,0.266,0.273,0.263,0.359,0.37,0.365,0.375,0.375,0.381,0.368,0.383,0.367,0.096,0.095,0.096,0.267333333,0.364666667,0.377,0.372666667,0.095666667,0.005131601,0.005507571,0.003464102,0.008962886,0.00057735
9,0.287,0.293,0.284,0.379,0.382,0.379,0.387,0.394,0.395,0.382,0.401,0.379,0.096,0.095,0.096,0.288,0.38,0.392,0.387333333,0.095666667,0.004582576,0.001732051,0.004358899,0.011930353,0.00057735
10,0.308,0.309,0.299,0.385,0.393,0.383,0.407,0.408,0.414,0.394,0.413,0.389,0.096,0.095,0.096,0.305333333,0.387,0.409666667,0.398666667,0.095666667,0.005507571,0.005291503,0.003785939,0.01266228,0.00057735
11,0.381,0.313,0.309,0.393,0.398,0.387,0.415,0.419,0.423,0.403,0.423,0.398,0.096,0.095,0.096,0.334333333,0.392666667,0.419,0.408,0.095666667,0.040463976,0.005507571,0.004,0.013228757,0.00057735
12,0.317,0.33,0.326,0.397,0.404,0.395,0.425,0.432,0.438,0.411,0.433,0.404,0.096,0.095,0.096,0.324333333,0.398666667,0.431666667,0.416,0.095666667,0.006658328,0.004725816,0.006506407,0.015132746,0.00057735
13,0.321,0.339,0.335,0.409,0.416,0.403,0.441,0.441,0.446,0.415,0.436,0.409,0.096,0.095,0.096,0.331666667,0.409333333,0.442666667,0.42,0.095666667,0.009451631,0.006506407,0.002886751,0.014177447,0.00057735
14,0.326,0.346,0.339,0.413,0.429,0.407,0.448,0.45,0.462,0.417,0.437,0.412,0.096,0.095,0.096,0.337,0.416333333,0.453333333,0.422,0.095666667,0.010148892,0.011372481,0.007571878,0.013228757,0.00057735
15,0.342,0.349,0.349,0.422,0.437,0.42,0.459,0.456,0.466,0.419,0.438,0.416,0.096,0.095,0.096,0.346666667,0.426333333,0.460333333,0.424333333,0.095666667,0.004041452,0.009291573,0.005131601,0.011930353,0.00057735
16,0.366,0.358,0.357,0.435,0.439,0.424,0.461,0.463,0.479,0.42,0.439,0.421,0.096,0.095,0.096,0.360333333,0.432666667,0.467666667,0.426666667,0.095666667,0.004932883,0.007767453,0.009865766,0.010692677,0.00057735
17,0.386,0.368,0.363,0.435,0.445,0.427,0.456,0.463,0.47,0.424,0.444,0.433,0.096,0.095,0.096,0.372333333,0.435666667,0.463,0.433666667,0.095666667,0.012096832,0.0090185,0.007,0.010016653,0.00057735
18,0.398,0.38,0.371,0.429,0.447,0.424,0.455,0.462,0.471,0.434,0.456,0.45,0.096,0.095,0.096,0.383,0.433333333,0.462666667,0.446666667,0.095666667,0.013747727,0.012096832,0.008020806,0.011372481,0.00057735
19,0.406,0.385,0.381,0.416,0.438,0.414,0.45,0.466,0.466,0.447,0.476,0.467,0.096,0.095,0.096,0.390666667,0.422666667,0.460666667,0.463333333,0.095666667,0.013428825,0.013316656,0.009237604,0.014843629,0.00057735
20,0.416,0.391,0.385,0.424,0.424,0.411,0.447,0.449,0.472,0.461,0.499,0.489,0.096,0.095,0.096,0.397333333,0.419666667,0.456,0.483,0.095666667,0.016441817,0.007505553,0.013892444,0.019697716,0.00057735
21,0.427,0.4,0.398,0.425,0.435,0.413,0.454,0.454,0.468,0.475,0.519,0.51,0.096,0.095,0.096,0.408333333,0.424333333,0.458666667,0.501333333,0.095666667,0.016196707,0.011015141,0.008082904,0.023245071,0.00057735
