,,,,,,,,,,,,,,,,,av,,,,,,,,,
Time (Hr),Time,25 然 ,25 然 ,25 然 ,12.5 然 ,12.5 然 ,12.5 然 ,6.25 然 ,6.25 然 ,6.25 然 ,Pd,Pd,Pd,LB,LB,LB,25 然 ,12.5 然  ,6.25 然  ,Pd ,LB ,25 然 SD,12.5 然 SD ,6.25 然 SD ,Pd SD,LB SD
0,0:05:02,0.134,0.144,0.141,0.137,0.136,0.138,0.139,0.139,0.136,0.14,0.135,0.137,0.099,0.098,0.098,0.139666667,0.137,0.138,0.137333333,0.098333333,0.005131601,0.001,0.001732051,0.002516611,0.00057735
1,1:05:02,0.133,0.142,0.137,0.143,0.137,0.138,0.148,0.143,0.141,0.145,0.139,0.14,0.098,0.097,0.098,0.137333333,0.139333333,0.144,0.141333333,0.097666667,0.00450925,0.00321455,0.003605551,0.00321455,0.00057735
2,2:05:02,0.137,0.14,0.14,0.144,0.144,0.143,0.154,0.15,0.147,0.155,0.149,0.15,0.098,0.097,0.098,0.139,0.143666667,0.150333333,0.151333333,0.097666667,0.001732051,0.00057735,0.003511885,0.00321455,0.00057735
3,3:05:02,0.136,0.147,0.14,0.146,0.151,0.151,0.167,0.162,0.158,0.173,0.166,0.166,0.098,0.097,0.098,0.141,0.149333333,0.162333333,0.168333333,0.097666667,0.005567764,0.002886751,0.00450925,0.004041452,0.00057735
4,4:05:02,0.136,0.14,0.135,0.155,0.16,0.161,0.193,0.183,0.179,0.198,0.195,0.193,0.098,0.097,0.098,0.137,0.158666667,0.185,0.195333333,0.097666667,0.002645751,0.00321455,0.007211103,0.002516611,0.00057735
5,5:05:02,0.132,0.138,0.133,0.166,0.181,0.184,0.219,0.209,0.205,0.225,0.223,0.226,0.098,0.097,0.098,0.134333333,0.177,0.211,0.224666667,0.097666667,0.00321455,0.009643651,0.007211103,0.001527525,0.00057735
6,6:05:02,0.132,0.138,0.135,0.188,0.206,0.207,0.244,0.234,0.23,0.257,0.257,0.259,0.098,0.097,0.098,0.135,0.200333333,0.236,0.257666667,0.097666667,0.003,0.010692677,0.007211103,0.001154701,0.00057735
7,7:05:02,0.13,0.139,0.134,0.216,0.23,0.234,0.275,0.264,0.258,0.29,0.293,0.296,0.098,0.097,0.098,0.134333333,0.226666667,0.265666667,0.293,0.097666667,0.00450925,0.009451631,0.008621678,0.003,0.00057735
8,8:05:02,0.133,0.14,0.137,0.245,0.262,0.263,0.308,0.297,0.291,0.33,0.335,0.337,0.098,0.097,0.098,0.136666667,0.256666667,0.298666667,0.334,0.097666667,0.003511885,0.010115994,0.008621678,0.003605551,0.00057735
9,9:05:02,0.135,0.146,0.145,0.278,0.296,0.299,0.346,0.336,0.327,0.369,0.375,0.376,0.098,0.097,0.098,0.142,0.291,0.336333333,0.373333333,0.097666667,0.006082763,0.011357817,0.009504385,0.003785939,0.00057735
10,10:05:02,0.138,0.156,0.153,0.316,0.331,0.331,0.365,0.358,0.352,0.386,0.395,0.393,0.098,0.097,0.098,0.149,0.326,0.358333333,0.391333333,0.097666667,0.009643651,0.008660254,0.006506407,0.004725816,0.00057735
11,11:05:02,0.147,0.178,0.177,0.336,0.348,0.348,0.38,0.373,0.366,0.401,0.409,0.405,0.098,0.097,0.098,0.167333333,0.344,0.373,0.405,0.097666667,0.01761628,0.006928203,0.007,0.004,0.00057735
12,12:05:02,0.166,0.214,0.208,0.351,0.362,0.362,0.389,0.381,0.374,0.416,0.425,0.421,0.098,0.097,0.098,0.196,0.358333333,0.381333333,0.420666667,0.097666667,0.026153394,0.006350853,0.007505553,0.00450925,0.00057735
13,13:05:02,0.195,0.251,0.241,0.366,0.376,0.377,0.397,0.392,0.381,0.437,0.445,0.441,0.098,0.097,0.098,0.229,0.373,0.39,0.441,0.097666667,0.029866369,0.006082763,0.008185353,0.004,0.00057735
14,14:05:02,0.231,0.28,0.274,0.38,0.383,0.385,0.407,0.399,0.389,0.469,0.47,0.469,0.098,0.097,0.098,0.261666667,0.382666667,0.398333333,0.469333333,0.097666667,0.026727015,0.002516611,0.0090185,0.00057735,0.00057735
15,15:05:02,0.268,0.306,0.298,0.39,0.393,0.397,0.422,0.413,0.4,0.497,0.492,0.496,0.098,0.097,0.098,0.290666667,0.393333333,0.411666667,0.495,0.097666667,0.020033306,0.003511885,0.01106044,0.002645751,0.00057735
