GeneID,20XA,20XB,20XD,20VB,20VC,20VD,44XC,44XD,44XE,44VA,44VC,44VE
"gene_id ""PDENDC454_28720""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28720""; ",3454,3566,3099,2309,4329,2700,1720,1956,2448,1625,1646,1844
"gene_id ""PDENDC454_28725""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28725""; ",457,502,378,274,754,389,411,284,451,275,220,281
"gene_id ""PDENDC454_28730""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28730""; ",342,334,267,179,384,218,266,136,290,365,141,188
"gene_id ""PDENDC454_28555""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28555""; ",1100,1011,841,784,1695,1001,676,669,1146,710,598,501
"gene_id ""PDENDC454_28560""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28560""; ",488,486,428,424,699,545,345,301,341,305,233,350
"gene_id ""PDENDC454_28565""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28565""; ",16621,21453,15026,13726,16926,11667,5688,7428,6533,4575,5833,8275
"gene_id ""PDENDC454_28570""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28570""; ",19890,22028,15022,15794,19948,13154,6054,7216,6210,4992,6836,9589
"gene_id ""PDENDC454_28575""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28575""; ",175,229,238,152,229,214,125,107,150,137,100,147
"gene_id ""PDENDC454_28580""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28580""; ",173,183,198,130,230,152,112,154,115,136,71,173
"gene_id ""PDENDC454_28585""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28585""; ",20,19,39,16,25,30,37,27,32,19,23,49
"gene_id ""PDENDC454_28590""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28590""; ",56,53,103,44,112,53,63,47,55,64,34,98
"gene_id ""PDENDC454_28595""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28595""; ",291,180,147,195,346,106,207,129,237,173,62,138
"gene_id ""PDENDC454_28600""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28600""; ",635,567,475,460,889,434,403,420,806,413,267,354
"gene_id ""PDENDC454_28605""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28605""; ",70,27,29,9,30,57,155,35,248,61,34,66
"gene_id ""PDENDC454_28610""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28610""; ",6,0,2,0,7,2,9,4,17,2,6,6
"gene_id ""PDENDC454_28615""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28615""; ",0,9,10,14,8,13,6,11,4,12,14,16
"gene_id ""PDENDC454_28620""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28620""; ",16883,22647,18996,12561,15727,13065,14343,17151,20124,13108,18447,18043
"gene_id ""PDENDC454_28625""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28625""; ",339,309,307,179,310,277,235,237,368,175,229,167
"gene_id ""PDENDC454_28630""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28630""; ",807,855,875,475,946,684,645,633,747,478,629,660
"gene_id ""PDENDC454_28635""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28635""; ",567,552,674,281,690,489,403,468,419,439,353,408
"gene_id ""PDENDC454_28640""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28640""; ",406,382,469,213,455,328,243,264,329,272,244,197
"gene_id ""PDENDC454_28645""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28645""; ",84,92,118,51,111,42,71,81,92,52,55,25
"gene_id ""PDENDC454_28650""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28650""; ",327,310,408,219,459,358,211,336,308,249,222,260
"gene_id ""PDENDC454_28655""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28655""; ",412,351,419,193,457,254,265,381,407,321,250,214
"gene_id ""PDENDC454_28660""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28660""; ",1003,1014,974,713,1182,654,565,560,804,500,445,354
"gene_id ""PDENDC454_28665""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28665""; ",4,3,7,4,5,3,2,6,9,1,4,14
"gene_id ""PDENDC454_28670""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28670""; ",9,1,2,4,6,0,17,0,8,12,4,9
"gene_id ""PDENDC454_28675""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28675""; ",116,108,89,40,83,84,71,83,64,88,51,91
"gene_id ""PDENDC454_28680""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28680""; ",83,121,77,37,90,68,45,94,93,70,52,81
"gene_id ""PDENDC454_28685""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28685""; ",133,167,133,67,177,101,81,71,171,120,92,110
"gene_id ""PDENDC454_28690""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28690""; ",123,107,177,86,139,68,76,115,85,69,56,64
"gene_id ""PDENDC454_28695""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28695""; ",18,19,4,7,16,2,0,8,30,4,16,12
"gene_id ""PDENDC454_28700""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28700""; ",14,11,21,7,25,10,2,1,10,19,7,17
"gene_id ""PDENDC454_28705""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28705""; ",88,74,92,38,80,58,62,55,52,51,38,48
"gene_id ""PDENDC454_28710""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28710""; ",62,46,48,18,68,37,495,445,794,432,328,482
"gene_id ""PDENDC454_28715""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28715""; ",40,40,13,11,44,52,248,225,344,275,122,229
"gene_id ""PDENDC454_28360""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28360""; ",1371,1449,1037,670,1327,929,944,833,1174,1003,623,733
"gene_id ""PDENDC454_28365""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28365""; ",377,420,438,229,456,312,229,154,177,169,165,200
"gene_id ""PDENDC454_28370""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28370""; ",2332,2306,2486,1363,2933,1964,1538,1400,1950,1564,1428,1555
"gene_id ""PDENDC454_28375""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28375""; ",5582,6495,7613,4265,6816,4847,3632,5166,4038,2682,3822,4330
"gene_id ""PDENDC454_28380""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28380""; ",5245,5545,6578,3765,5853,4120,3154,4644,3726,2414,3515,4348
"gene_id ""PDENDC454_28385""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28385""; ",3618,3874,4543,2368,4335,2683,2304,3309,2744,1823,2564,2737
"gene_id ""PDENDC454_28390""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28390""; ",580,604,621,346,674,416,387,538,543,276,391,383
"gene_id ""PDENDC454_28395""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28395""; ",743,844,980,488,997,568,503,650,656,339,503,533
"gene_id ""PDENDC454_28400""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28400""; ",700,720,866,456,868,683,602,693,585,327,513,486
"gene_id ""PDENDC454_28405""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28405""; ",2322,2563,3015,1539,3023,1897,1616,2312,1886,1203,1826,1797
"gene_id ""PDENDC454_28410""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28410""; ",1908,1980,2404,1255,2624,1675,1229,1920,1835,1173,1771,1541
"gene_id ""PDENDC454_28415""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28415""; ",1638,1633,1716,985,1999,1352,994,1330,1250,1002,1235,1109
"gene_id ""PDENDC454_28420""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28420""; ",982,916,1018,590,1514,1005,581,619,734,495,603,498
