,,,,20XA,,20XB,,20XD,,20VB,,20VC,,20VD,,44XC,,44XD,,44XE,,44VA,,44VC,,44VE,,,
contig,starting position,ending position,region length,sum all nucleotides,num of reads,sum all nucleotides,sum all reads,sum all nucleotides,sum all reads,sum all nucleotides,sum all reads,sum all nucleotides,sum all reads,sum all nucleotides,sum all reads,sum all nucleotides,sum all reads,sum all nucleotides,sum all reads,sum all nucleotides,sum all reads,sum all nucleotides,sum all reads,sum all nucleotides,sum all reads,sum all nucleotides,sum all reads,geneID,transcriptID
AHKH01000199.1,324,1934,1610,335824,208.5863354,348199,216.2726708,301395,187.2018634,225143,139.8403727,421253,261.6478261,263248,163.5080745,166562,103.4546584,190010,118.0186335,237115,147.2763975,158625,98.52484472,159354,98.97763975,179107,111.2465839,PDENDC454_28720,"""unassigned_transcript_1""; db_xref ""NCBI_GP:EHQ58767.1""; gbkey ""CDS""; locus_tag ""PDENDC454_28720""; note ""COG0119 Isopropylmalate/homocitrate/citramalate synthases""; product ""putative alpha-isopropylmalate/homocitrate synthase family transferase""; protein_id ""EHQ58767.1""; transl_table ""11""; exon_number ""1"";"
AHKH01000199.1,2172,3488,1316,43520,33.06990881,47309,35.94908815,34014,25.84650456,24844,18.87841945,69757,53.00683891,35992,27.34954407,37031,28.13905775,24132,18.33738602,41316,31.39513678,26309,19.99164134,19886,15.11094225,26625,20.23176292,PDENDC454_28725,"""unassigned_transcript_2""; db_xref ""NCBI_GP:EHQ58768.1""; gbkey ""CDS""; locus_tag ""PDENDC454_28725""; note ""COG0389 Nucleotidyltransferase/DNA polymerase involved in DNA repair""; product ""DNA-directed DNA polymerase""; protein_id ""EHQ58768.1""; transl_table ""11""; exon_number ""1"";"
AHKH01000199.1,3628,3858,230,25539,111.0391304,25418,110.5130435,20557,89.37826087,14075,61.19565217,29790,129.5217391,18191,79.09130435,19647,85.42173913,10420,45.30434783,22655,98.5,27505,119.5869565,10853,47.18695652,14242,61.92173913,PDENDC454_28730,"""unassigned_transcript_3""; db_xref ""NCBI_GP:EHQ58769.1""; gbkey ""CDS""; locus_tag ""PDENDC454_28730""; note ""COG1141 Ferredoxin""; product ""ferredoxin""; protein_id ""EHQ58769.1""; transl_table ""11""; exon_number ""1"";"
AHKH01000198.1,238,1140,902,102171,113.2716186,93228,103.3569845,77710,86.15299335,72704,80.60310421,157418,174.5210643,95233,105.5798226,62499,69.28935698,62646,69.45232816,106845,118.4534368,65572,72.6962306,54492,60.41241685,46165,51.18070953,PDENDC454_28555,"""unassigned_transcript_4""; db_xref ""NCBI_GP:EHQ58770.1""; gbkey ""CDS""; locus_tag ""PDENDC454_28555""; note ""COG1493 Serine kinase of the HPr protein, regulates carbohydrate metabolism""; product ""HprK2""; protein_id ""EHQ58770.1""; transl_table ""11""; exon_number ""1"";"
AHKH01000198.1,1348,3906,2558,46979,18.36551994,44857,17.5359656,39655,15.50234558,38521,15.05903049,64496,25.21344801,49475,19.34128225,32154,12.56997654,26541,10.37568413,32310,12.63096169,26827,10.48749023,21602,8.444878812,32605,12.74628616,PDENDC454_28560,"""unassigned_transcript_5""; db_xref ""NCBI_GP:EHQ58771.1""; gbkey ""CDS""; locus_tag ""PDENDC454_28560""; note ""COG1305 Transglutaminase-like enzymes, putative cysteine proteases""; product ""transglutaminase domain-containing protein""; protein_id ""EHQ58771.1""; transl_table ""11""; exon_number ""1"";"
AHKH01000198.1,4311,7154,2843,1632907,574.3605346,2114201,743.6514246,1475895,519.1329581,1350796,475.130496,1659588,583.7453394,1147423,403.5958495,557362,196.0471333,728925,256.3928948,637899,224.3753078,447750,157.4920858,574982,202.2448118,812623,285.832923,PDENDC454_28565,"""unassigned_transcript_6""; db_xref ""NCBI_GP:EHQ58772.1""; gbkey ""CDS""; locus_tag ""PDENDC454_28565""; note ""COG0567 2-oxoglutarate dehydrogenase complex, dehydrogenase (E1) component, and related enzymes""; product ""2-oxoglutarate dehydrogenase, E1 subunit""; protein_id ""EHQ58772.1""; transl_table ""11""; exon_number ""1"";"
AHKH01000198.1,7175,8455,1280,1928890,1506.945313,2142523,1673.846094,1461230,1141.585938,1533132,1197.759375,1929549,1507.460156,1281350,1001.054688,589622,460.6421875,701438,547.9984375,599125,468.0664063,485155,379.0273438,666768,520.9125,931323,727.5960938,PDENDC454_28570,"""unassigned_transcript_7""; db_xref ""NCBI_GP:EHQ58773.1""; gbkey ""CDS""; locus_tag ""PDENDC454_28570""; note ""COG0508 Pyruvate/2-oxoglutarate dehydrogenase complex, dihydrolipoamide acyltransferase (E2) component, and related enzymes""; product ""2-oxoglutarate dehydrogenase, e2 subunit, dihydrolipoamide succinyltransferase""; protein_id ""EHQ58773.1""; transl_table ""11""; exon_number ""1"";"
AHKH01000198.1,8782,9795,1013,16661,16.44718657,21871,21.59032577,22225,21.93978282,14443,14.25765054,21328,21.05429418,20391,20.12931885,12011,11.85686081,10196,10.06515301,14340,14.15597236,13129,12.96051333,9251,9.132280355,14140,13.95853899,PDENDC454_28575,"""unassigned_transcript_8""; db_xref ""NCBI_GP:EHQ58774.1""; gbkey ""CDS""; locus_tag ""PDENDC454_28575""; note ""COG3173 Predicted aminoglycoside phosphotransferase""; product ""hypothetical protein""; protein_id ""EHQ58774.1""; transl_table ""11""; exon_number ""1"";"
AHKH01000198.1,9853,10911,1058,18219,17.22022684,18762,17.73345936,19732,18.65028355,13350,12.61814745,23820,22.51417769,16695,15.77977316,12219,11.54914934,16969,16.03875236,12910,12.20226843,15047,14.2221172,7812,7.383742911,18414,17.40453686,PDENDC454_28580,"""unassigned_transcript_9""; db_xref ""NCBI_GP:EHQ58775.1""; gbkey ""CDS""; locus_tag ""PDENDC454_28580""; product ""hypothetical protein""; protein_id ""EHQ58775.1""; transl_table ""11""; exon_number ""1"";"
