#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
PDENDC454_28720	1196323.ALKF01000202_gene3926	0.0	926.0	COG0119@1|root,COG0119@2|Bacteria,1TRIK@1239|Firmicutes,4HA3U@91061|Bacilli,26RTX@186822|Paenibacillaceae	91061|Bacilli	E	Belongs to the alpha-IPM synthase homocitrate synthase family	leuA3	-	2.3.3.13	ko:K01649	ko00290,ko00620,ko01100,ko01110,ko01210,ko01230,map00290,map00620,map01100,map01110,map01210,map01230	M00432	R01213	RC00004,RC00470,RC02754	br01601,ko00000,ko00001,ko00002,ko01000	-	-	-	HMGL-like,LeuA_dimer
PDENDC454_28725	1196323.ALKF01000202_gene3927	1.94e-262	725.0	COG0389@1|root,COG0389@2|Bacteria,1TP42@1239|Firmicutes,4HADJ@91061|Bacilli,26R6N@186822|Paenibacillaceae	91061|Bacilli	L	Poorly processive, error-prone DNA polymerase involved in untargeted mutagenesis. Copies undamaged DNA at stalled replication forks, which arise in vivo from mismatched or misaligned primer ends. These misaligned primers can be extended by PolIV. Exhibits no 3'-5' exonuclease (proofreading) activity. May be involved in translesional synthesis, in conjunction with the beta clamp from PolIII	dinB	GO:0008150,GO:0009314,GO:0009411,GO:0009416,GO:0009628,GO:0009650,GO:0050896	2.7.7.7	ko:K02346	-	-	-	-	ko00000,ko01000,ko03400	-	-	-	IMS,IMS_C,IMS_HHH
PDENDC454_28730	697284.ERIC2_c12060	9.37e-52	162.0	COG1141@1|root,COG1141@2|Bacteria,1VAC2@1239|Firmicutes,4HKG7@91061|Bacilli,26YZH@186822|Paenibacillaceae	91061|Bacilli	C	Ferredoxin	fer	-	-	ko:K05337	-	-	-	-	ko00000	-	-	-	Fer4_13
PDENDC454_28555	1196323.ALKF01000186_gene5681	2.75e-180	506.0	COG1493@1|root,COG1493@2|Bacteria,1TT8M@1239|Firmicutes,4HEJC@91061|Bacilli,26SJM@186822|Paenibacillaceae	91061|Bacilli	T	Catalyzes the ATP- as well as the pyrophosphate- dependent phosphorylation of a specific serine residue in HPr, a phosphocarrier protein of the phosphoenolpyruvate-dependent sugar phosphotransferase system (PTS). HprK P also catalyzes the pyrophosphate-producing, inorganic phosphate-dependent dephosphorylation (phosphorolysis) of seryl-phosphorylated HPr (P- Ser-HPr). The two antagonistic activities of HprK P are regulated by several intracellular metabolites, which change their concentration in response to the absence or presence of rapidly metabolisable carbon sources (glucose, fructose, etc.) in the growth medium. Therefore, by controlling the phosphorylation state of HPr, HPrK P is a sensor enzyme that plays a major role in the regulation of carbon metabolism and sugar transport it mediates carbon catabolite repression (CCR), and regulates PTS-catalyzed carbohydrate uptake and inducer exclusion	hprK_1	-	-	ko:K06023	-	-	-	-	ko00000,ko01000	-	-	-	Hpr_kinase_C,Hpr_kinase_N
PDENDC454_28560	1196323.ALKF01000134_gene3377	0.0	1147.0	COG1305@1|root,COG1305@2|Bacteria,1TQGN@1239|Firmicutes,4I65K@91061|Bacilli,26QHE@186822|Paenibacillaceae	91061|Bacilli	E	Transglutaminase-like superfamily	-	-	-	-	-	-	-	-	-	-	-	-	Transglut_core
PDENDC454_28565	1196323.ALKF01000192_gene3184	0.0	1360.0	COG0567@1|root,COG0567@2|Bacteria,1TRDW@1239|Firmicutes,4HAUI@91061|Bacilli,26R5N@186822|Paenibacillaceae	91061|Bacilli	C	The 2-oxoglutarate dehydrogenase complex catalyzes the overall conversion of 2-oxoglutarate to succinyl-CoA and CO(2). It contains multiple copies of three enzymatic components 2- oxoglutarate dehydrogenase (E1), dihydrolipoamide succinyltransferase (E2) and lipoamide dehydrogenase (E3)	odhA	GO:0003674,GO:0003824,GO:0004591,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006082,GO:0006091,GO:0006099,GO:0006101,GO:0008150,GO:0008152,GO:0009060,GO:0009987,GO:0015980,GO:0016491,GO:0016624,GO:0016903,GO:0016999,GO:0017144,GO:0019752,GO:0032991,GO:0043436,GO:0044237,GO:0044238,GO:0044281,GO:0044424,GO:0044444,GO:0044464,GO:0045239,GO:0045240,GO:0045252,GO:0045333,GO:0055114,GO:0071704,GO:0072350,GO:1902494,GO:1990204,GO:1990234	1.2.4.2	ko:K00164	ko00020,ko00310,ko00380,ko01100,ko01110,ko01120,ko01130,ko01200,map00020,map00310,map00380,map01100,map01110,map01120,map01130,map01200	M00009,M00011,M00032	R00621,R01933,R01940,R03316,R08549	RC00004,RC00027,RC00627,RC02743,RC02833,RC02883	br01601,ko00000,ko00001,ko00002,ko01000	-	-	-	2-oxogl_dehyd_N,E1_dh,OxoGdeHyase_C,Transket_pyr
PDENDC454_28570	1536769.P40081_02315	3.77e-185	529.0	COG0508@1|root,COG0508@2|Bacteria,1TP3C@1239|Firmicutes,4HBVM@91061|Bacilli,26QH7@186822|Paenibacillaceae	91061|Bacilli	C	The 2-oxoglutarate dehydrogenase complex catalyzes the overall conversion of 2-oxoglutarate to succinyl-CoA and CO(2)	odhB	-	2.3.1.61	ko:K00658	ko00020,ko00310,ko01100,ko01110,ko01120,ko01130,ko01200,map00020,map00310,map01100,map01110,map01120,map01130,map01200	M00009,M00011,M00032	R02570,R02571,R08549	RC00004,RC02727,RC02833	br01601,ko00000,ko00001,ko00002,ko01000	-	-	-	2-oxoacid_dh,Biotin_lipoyl,E3_binding
PDENDC454_28575	1196323.ALKF01000197_gene2239	1.18e-145	421.0	COG3173@1|root,COG3173@2|Bacteria,1TXBH@1239|Firmicutes,4I694@91061|Bacilli,26RNA@186822|Paenibacillaceae	91061|Bacilli	S	Phosphotransferase enzyme family	-	-	-	-	-	-	-	-	-	-	-	-	APH
PDENDC454_28590	1052684.PPM_0912	4.59e-92	285.0	COG4842@1|root,COG4842@2|Bacteria,1TXF9@1239|Firmicutes,4I6DM@91061|Bacilli,26S5D@186822|Paenibacillaceae	91061|Bacilli	S	Belongs to the WXG100 family	-	-	-	-	-	-	-	-	-	-	-	-	WXG100
PDENDC454_28595	1117108.PAALTS15_28171	5.73e-131	375.0	COG2186@1|root,COG2186@2|Bacteria,1V3U4@1239|Firmicutes,4HH61@91061|Bacilli,26RKW@186822|Paenibacillaceae	91061|Bacilli	K	FCD	-	-	-	ko:K05799	-	-	-	-	ko00000,ko03000	-	-	-	FCD,GntR
PDENDC454_28600	1117108.PAALTS15_28176	4.15e-170	477.0	COG1119@1|root,COG1119@2|Bacteria,1TRR4@1239|Firmicutes,4HB4U@91061|Bacilli,26QE5@186822|Paenibacillaceae	91061|Bacilli	P	ABC transporter, ATP-binding protein	ylmA	-	3.6.3.34	ko:K02013	ko02010,map02010	M00240	-	-	ko00000,ko00001,ko00002,ko01000,ko02000	3.A.1.14	-	-	ABC_tran
PDENDC454_28605	1236976.JCM16418_4033	9.88e-40	136.0	2DQIA@1|root,3371K@2|Bacteria,1VHCJ@1239|Firmicutes,4HQ1E@91061|Bacilli,26Y5E@186822|Paenibacillaceae	91061|Bacilli	S	general stress protein	-	-	-	-	-	-	-	-	-	-	-	-	YflT
PDENDC454_28615	1196323.ALKF01000131_gene4674	6.28e-28	109.0	2CI79@1|root,32S7F@2|Bacteria,1V90P@1239|Firmicutes,4HJQC@91061|Bacilli,26RV4@186822|Paenibacillaceae	91061|Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PDENDC454_28620	1196323.ALKF01000152_gene1011	0.0	986.0	COG0103@1|root,COG0103@2|Bacteria,1VAS8@1239|Firmicutes,4HNSF@91061|Bacilli,26T3Z@186822|Paenibacillaceae	91061|Bacilli	J	Copper amine oxidase N-terminal domain	-	-	-	-	-	-	-	-	-	-	-	-	Cu_amine_oxidN1,VWA
PDENDC454_28625	1117108.PAALTS15_05683	1.74e-87	261.0	COG3575@1|root,COG3575@2|Bacteria,1V1YD@1239|Firmicutes,4HGK6@91061|Bacilli,26WQQ@186822|Paenibacillaceae	91061|Bacilli	K	Nucleotidyltransferase	-	-	-	ko:K09962	-	-	-	-	ko00000	-	-	-	NTP_transf_6
PDENDC454_28630	1122915.AUGY01000040_gene564	5.71e-139	399.0	COG2227@1|root,COG2227@2|Bacteria,1VZEI@1239|Firmicutes,4HDZM@91061|Bacilli,26UP6@186822|Paenibacillaceae	91061|Bacilli	H	Methyltransferase domain	-	-	-	-	-	-	-	-	-	-	-	-	Methyltransf_25
PDENDC454_28635	1033743.CAES01000069_gene878	5.15e-116	340.0	COG0454@1|root,COG0456@2|Bacteria,1UZC5@1239|Firmicutes,4HFDR@91061|Bacilli,26UAI@186822|Paenibacillaceae	91061|Bacilli	K	acetyltransferase	-	-	-	-	-	-	-	-	-	-	-	-	Acetyltransf_1,Acetyltransf_6
PDENDC454_28640	1117108.PAALTS15_15601	2.93e-87	261.0	COG1670@1|root,COG1670@2|Bacteria,1V1G8@1239|Firmicutes,4HH8Z@91061|Bacilli,26VNV@186822|Paenibacillaceae	91061|Bacilli	J	Acetyltransferases, including N-acetylases of ribosomal proteins	yokL1	-	-	-	-	-	-	-	-	-	-	-	Acetyltransf_3
PDENDC454_28645	946235.CAER01000063_gene2371	6.9e-24	97.8	COG0300@1|root,COG0300@2|Bacteria,1VANI@1239|Firmicutes,4HM52@91061|Bacilli,23M3A@182709|Oceanobacillus	91061|Bacilli	E	lactoylglutathione lyase activity	-	-	-	-	-	-	-	-	-	-	-	-	adh_short
PDENDC454_28650	1122927.KB895419_gene2336	6.04e-31	121.0	28X6K@1|root,2ZJ4Y@2|Bacteria,1W472@1239|Firmicutes,4I04K@91061|Bacilli,270DU@186822|Paenibacillaceae	91061|Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
